1965 Constructor Standings,8,Lotus BRM,2
1963 Constructor Standings,1,Lotus Climax,54
1963 Constructor Standings,2,BRM,36
1963 Constructor Standings,3,Brabham Climax,28
1963 Constructor Standings,4,Ferrari,26
1963 Constructor Standings,5,Cooper Climax,25
1963 Constructor Standings,6,BRP BRM,6
1963 Constructor Standings,7,Porsche,5
1963 Constructor Standings,8,Lotus BRM,4
1960 Constructor Standings,1,Cooper Climax,48
1960 Constructor Standings,2,Lotus Climax,34
1960 Constructor Standings,3,Ferrari,26
1960 Constructor Standings,4,BRM,8
1960 Constructor Standings,5,Cooper Maserati,3
1960 Constructor Standings,5,Cooper Castellotti,3
1958 Constructor Standings,1,Vanwall,48
1958 Constructor Standings,2,Ferrari,40
1958 Constructor Standings,3,Cooper Climax,31
1958 Constructor Standings,4,BRM,18
1958 Constructor Standings,5,Maserati,6
1958 Constructor Standings,6,Lotus Climax,3
1959 Constructor Standings,1,Cooper Climax,40
1959 Constructor Standings,2,Ferrari,32
1959 Constructor Standings,3,BRM,18
1959 Constructor Standings,4,Lotus Climax,5
1978 Constructor Standings,1,Lotus Ford,86
1978 Constructor Standings,2,Ferrari,58
1978 Constructor Standings,3,Brabham Alfa Romeo,53
1978 Constructor Standings,4,Tyrrell Ford,38
1978 Constructor Standings,5,Wolf Ford,24
1978 Constructor Standings,6,Ligier Matra,19
1978 Constructor Standings,7,Fittipaldi Ford,17
1978 Constructor Standings,8,McLaren Ford,15
1978 Constructor Standings,9,Williams Ford,11
1978 Constructor Standings,9,Arrows Ford,11
1978 Constructor Standings,11,Shadow Ford,6
1978 Constructor Standings,12,Renault,3
1978 Constructor Standings,13,Surtees Ford,1
1978 Constructor Standings,13,Ensign Ford,1
1986 Constructor Standings,1,Williams Honda,141
1986 Constructor Standings,2,McLaren TAG,96
1986 Constructor Standings,3,Lotus Renault,58
1986 Constructor Standings,4,Ferrari,37
1986 Constructor Standings,5,Ligier Renault,29
1986 Constructor Standings,6,Benetton BMW,19
1986 Constructor Standings,7,Tyrrell Renault,11
1986 Constructor Standings,8,Lola Ford,6
1986 Constructor Standings,9,Brabham BMW,2
1986 Constructor Standings,10,Arrows BMW,1
1987 Constructor Standings,1,Williams Honda,137
1987 Constructor Standings,2,McLaren TAG,76
1987 Constructor Standings,3,Lotus Honda,64
1987 Constructor Standings,4,Ferrari,53
1987 Constructor Standings,5,Benetton Ford,28
1987 Constructor Standings,6,Tyrrell Ford,11
1987 Constructor Standings,7,Arrows Megatron,11
1987 Constructor Standings,8,Brabham BMW,10
1987 Constructor Standings,9,Lola Ford,3
1987 Constructor Standings,10,Zakspeed,2
1987 Constructor Standings,11,March Ford,1
1987 Constructor Standings,12,Ligier Megatron,1
1987 Constructor Standings,13,AGS Ford,1
1982 Constructor Standings,1,Ferrari,74
1982 Constructor Standings,2,McLaren Ford,69
1982 Constructor Standings,3,Renault,62
1982 Constructor Standings,4,Williams Ford,58
1982 Constructor Standings,5,Lotus Ford,30
1982 Constructor Standings,6,Tyrrell Ford,25
1982 Constructor Standings,7,Brabham BMW,22
1982 Constructor Standings,8,Ligier Matra,20
1982 Constructor Standings,9,Brabham Ford,19
1982 Constructor Standings,10,Alfa Romeo,7
